Vr [V]	I [pA]
0.00	90.9
0.00	89.4
-0.03	87.3
-0.05	82.6
-0.07	80.8
-0.08	79.3
-0.10	76.0
-0.13	73.5
-0.16	70.3
-0.18	67.5
-0.21	64.0
-0.22	60.4
-0.26	57.9
-0.27	54.8
-0.29	53.4
-0.30	51.1
-0.32	49.7
-0.34	47.6
-0.36	46.3
-0.37	43.8
-0.39	42.5
-0.40	41.6
-0.42	40.0
-0.45	37.5
-0.46	35.7
-0.48	34.2
-0.49	32.8
-0.52	31.2
-0.54	29.7
-0.56	27.7
-0.58	25.6
-0.61	24.1
-0.63	22.4
-0.65	20.6
-0.67	19.2
-0.69	17.8
-0.70	16.7
-0.72	15.5
-0.73	14.6
-0.75	13.8
-0.76	12.5
-0.78	11.6
-0.80	10.6
-0.83	9.7
-0.84	8.3
-0.87	7.9
-0.89	6.6
-0.91	5.9
-0.93	5.0
-0.95	4.5
-0.97	3.5
-0.99	3.0
-1.01	2.2
-1.03	1.9
-1.05	1.4
-1.06	1.1
-1.09	0.5
-1.10	0.3
-1.12	-0.1
-1.15	-0.3
-1.17	-0.6
-1.19	-0.7
-1.19	-0.9
-1.20	-0.8
-1.22	-1.2
-1.24	-1.3
-1.26	-1.4
-1.29	-1.5
-1.31	-1.4
-1.33	-1.6
-1.36	-1.5
-1.39	-1.6
-1.41	-1.6
-1.43	-1.6
-1.46	-1.6
-1.48	-1.7
-1.50	-1.8
-1.52	-1.8
-1.54	-1.6
-1.57	-1.8
-1.58	-1.7
-1.59	-1.6
-1.62	-1.8
-1.63	-1.7
-1.66	-1.8
-1.68	-1.8
-1.72	-1.9
-1.75	-2.0
-1.78	-2.0
-1.80	-1.8
-1.83	-1.9
-1.86	-1.8
-1.88	-1.8
-1.91	-1.8
-1.92	-1.7
-1.95	-1.8
-1.97	-1.7
-1.99	-1.8
-2.00	-1.8
-2.03	-1.9
-2.06	-1.9
-2.08	-1.9
-2.12	-2.0
-2.15	-2.0
-2.18	-1.9
-2.20	-1.9
-2.23	-1.9
-2.26	-1.9
-2.28	-1.9
-2.31	-1.8
-2.33	-1.8
-2.35	-1.7
-2.38	-1.8
-2.40	-1.7
-2.43	-1.7
-2.45	-1.7
-2.48	-1.7
-2.49	-1.7
-2.53	-1.8
-2.55	-1.7
-2.58	-1.7
-2.60	-1.7
-2.63	-1.7
-2.65	-1.8
-2.68	-1.8
-2.70	-1.9
-2.73	-1.9
-2.75	-1.8
-2.78	-1.9
-2.80	-1.9
-2.83	-1.9
-2.85	-2.1
-2.88	-1.9
-2.91	-2.0
-2.94	-2.0
-2.96	-1.9
-3.00	-1.9
-3.02	-1.9
-3.05	-1.8
-3.08	-1.8
-3.10	-1.9
-3.12	-1.8
-3.15	-2.0
-3.17	-1.9
-3.20	-2.0
-3.23	-2.0
-3.25	-1.9
-3.28	-2.0
-3.30	-1.9
-3.33	-1.9
-3.35	-1.9
-3.38	-2.0
-3.41	-1.9
-3.43	-1.8
-3.46	-1.9
-3.48	-1.8
-3.51	-1.9
-3.54	-1.9
-3.57	-1.9
-3.58	-1.7
-3.60	-1.8
-3.63	-1.8
-3.65	-1.8
-3.68	-1.8
-3.71	-1.9
-3.74	-1.9
-3.78	-2.0
-3.81	-2.0
-3.85	-2.0
-3.88	-2.1
-3.91	-2.1
-3.94	-2.1
-3.97	-2.1
-3.98	-1.9
-3.98	-1.8
